dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.787047,13.140201,8.186850,5.795624,-4.424278,-21.553867,1.275651
0.020000,12.818865,13.249642,8.300823,5.698626,-4.849886,-21.280438,1.299835
0.020000,12.847588,13.357760,8.412690,5.593377,-5.262445,-20.627922,1.322213
0.020000,12.873443,13.464273,8.522297,5.480323,-5.652720,-19.513752,1.342924
0.020000,12.896647,13.568927,8.629492,5.359793,-6.026473,-18.687674,1.362098
0.020000,12.917412,13.671496,8.734142,5.232457,-6.366801,-17.016374,1.379858
0.020000,12.935934,13.771779,8.836121,5.098970,-6.674369,-15.378390,1.396316
0.020000,12.952401,13.869593,8.935311,4.959513,-6.972869,-14.925035,1.411571
0.020000,12.966993,13.964784,9.031614,4.815158,-7.217753,-12.244189,1.425720
0.020000,12.979872,14.057205,9.124929,4.665713,-7.472226,-12.723626,1.438844
0.020000,12.991197,14.146732,9.215169,4.512035,-7.683895,-10.583489,1.451021
0.020000,13.001112,14.233259,9.302262,4.354649,-7.869328,-9.271610,1.462321
0.020000,13.009752,14.316684,9.386134,4.193579,-8.053470,-9.207112,1.472805
0.020000,13.017244,14.396925,9.466724,4.029483,-8.204826,-7.567790,1.482530
0.020000,13.023705,14.473899,9.543968,3.862238,-8.362238,-7.870600,1.491547
0.020000,13.029242,14.547545,9.617822,3.692672,-8.478308,-5.803507,1.499903
0.020000,13.033957,14.617803,9.688238,3.520837,-8.591730,-5.671124,1.507639
0.020000,13.037941,14.684613,9.755166,3.346398,-8.721966,-6.511802,1.514791
0.020000,13.041281,14.747936,9.818578,3.170569,-8.791437,-3.473513,1.521394
0.020000,13.044054,14.807730,9.878436,2.992903,-8.883315,-4.593937,1.527479
0.020000,13.046333,14.863958,9.934711,2.813734,-8.958460,-3.757248,1.533072
0.020000,13.048184,14.916586,9.987370,2.632996,-9.036859,-3.919912,1.538198
0.020000,13.049667,14.965586,10.036393,2.451150,-9.092340,-2.774063,1.542878
0.020000,13.050836,15.010938,10.081761,2.268361,-9.139438,-2.354925,1.547134
0.020000,13.051742,15.052610,10.123442,2.084047,-9.215702,-3.813204,1.550981
0.020000,13.052429,15.090594,10.161433,1.899557,-9.224492,-0.439492,1.554436
0.020000,13.052937,15.124869,10.195711,1.713902,-9.282741,-2.912441,1.557513
0.020000,13.053301,15.155416,10.226260,1.527483,-9.320981,-1.911973,1.560222
0.020000,13.053553,15.182229,10.253074,1.340689,-9.339655,-0.933702,1.562576
0.020000,13.053720,15.205296,10.276142,1.153377,-9.365643,-1.299418,1.564583
0.020000,13.053824,15.224608,10.295455,0.965639,-9.386891,-1.062409,1.566250
0.020000,13.053884,15.240235,10.311082,0.781351,-9.214398,8.624672,1.567591
0.020000,13.053917,15.252462,10.323309,0.611353,-8.499907,35.724546,1.568635
0.020000,13.053933,15.261711,10.332557,0.462436,-7.445820,52.704338,1.569422
0.020000,13.053941,15.268386,10.339232,0.333732,-6.435216,50.530211,1.569988
0.020000,13.053943,15.272916,10.343763,0.226543,-5.359465,53.787521,1.570372
0.020000,13.053944,15.275719,10.346565,0.140129,-4.320706,51.937965,1.570608
0.020000,13.053944,15.277211,10.348058,0.074612,-3.275835,52.243541,1.570735
0.020000,13.053944,15.277812,10.348659,0.030064,-2.227398,52.421875,1.570785
0.020000,13.053944,15.277943,10.348789,0.006519,-1.177238,52.507991,1.570796
0.020000,13.053944,15.277943,10.348789,0.000000,-0.325957,42.564070,1.570796
